chembl_id,smiles,pchembl_value,MW,LogP,HBD,HBA,RotatableBonds,TPSA,NumRings,NumAromRings,pass_lipinski,pass_veber,druglikeness_score
CHEMBL420311,NC(=O)C1CCCc2c1[nH]c1ccc(Cl)cc21,7.01,248.71300000000002,2.7265000000000006,2,1,1,58.88,3,2,True,True,100
CHEMBL115600,Cc1ccc2[nH]c3c(c2c1)CCCC3C(N)=O,6.69,228.29499999999996,2.3815199999999996,2,1,1,58.88,3,2,True,True,100
CHEMBL112265,NC(=O)C1CCCc2c1[nH]c1ccccc21,5.83,214.26800000000003,2.0730999999999993,2,1,1,58.88,3,2,True,True,100
CHEMBL446446,NC(=O)C1CCCCc2c1[nH]c1ccc(Cl)cc21,6.91,262.74000000000007,3.116600000000001,2,1,1,58.88,3,2,True,True,100
CHEMBL369710,NC(=O)C1CCCc2c1[nH]c1ccc(O)cc21,4.82,230.26700000000002,1.7786999999999995,3,2,1,79.11,3,2,True,True,100
CHEMBL172124,O=C(NO)C1CCCc2c1[nH]c1ccc(Cl)cc21,4.11,264.71200000000005,2.7466,3,2,1,65.12,3,2,True,True,100
CHEMBL173124,NC(=O)C1CCc2c([nH]c3ccc(Cl)cc23)C1,4.46,248.713,2.4115,2,1,1,58.88,3,2,True,True,100
CHEMBL368127,NC(=O)C1CCc2c([nH]c3ccc(Br)cc23)C1,5.61,293.16400000000004,2.520600000000001,2,1,1,58.88,3,2,True,True,100
CHEMBL381204,Cc1ccc2[nH]c3c(c2c1)CCCC3(C)C(N)=O,4.89,242.32199999999995,2.5556199999999993,2,1,1,58.88,3,2,True,True,100
CHEMBL372374,NC(=O)C1NCCc2c1[nH]c1ccc(Cl)cc21,4.75,249.701,1.4934,3,2,1,70.91,3,2,True,True,100
CHEMBL199180,CC(=O)N1CCc2c([nH]c3ccc(Cl)cc23)C1C(N)=O,4.1,291.73800000000006,1.7523,2,2,1,79.19,3,2,True,True,100
CHEMBL199063,NC(=O)C1CCc2c1[nH]c1ccc(Cl)cc21,6.39,234.686,2.3364000000000003,2,1,1,58.88,3,2,True,True,100
CHEMBL199068,NC(=O)C1CCc2c1[nH]c1ccccc21,5.57,200.241,1.683,2,1,1,58.88,3,2,True,True,100
CHEMBL198609,NC(=O)[C@H]1CCCCc2c1[nH]c1ccc(Cl)cc21,7.2,262.74000000000007,3.116600000000001,2,1,1,58.88,3,2,True,True,100
CHEMBL371432,NC(=O)[C@@H]1CCCCc2c1[nH]c1ccc(Cl)cc21,4.64,262.74000000000007,3.116600000000001,2,1,1,58.88,3,2,True,True,100
CHEMBL6291,Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,5.46,457.55900000000014,3.7169700000000017,3,4,6,105.9,5,4,True,True,100
CHEMBL291725,CN1C(=O)C(c2c[nH]c3ccccc23)=C(c2c[nH]c3ccccc23)C1=O,4.8,341.3700000000001,3.558600000000001,2,2,2,68.96000000000001,5,4,True,True,100
CHEMBL7463,CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21,4.64,412.49300000000017,3.6415000000000015,2,3,6,70.13,5,4,True,True,100
CHEMBL430574,O=C1Cc2c([nH]c3ccccc23)-c2ccccc2N1,4.3,248.28500000000003,3.3295000000000012,2,1,0,44.89,4,3,True,True,100
CHEMBL165,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,4.33,228.247,2.9738000000000016,3,3,2,60.69,2,2,True,True,100
CHEMBL257991,O=C(Nc1ccccc1-c1cn2c(CN3CCNCC3)csc2n1)c1cnc2ccccc2n1,6.8,469.5740000000001,3.6635000000000018,2,7,5,87.45,6,5,True,True,100
CHEMBL491960,O=c1[nH]c(=S)[nH]c(-c2ccccc2)c1Cc1c(O)ccc2ccccc12,4.39,360.4380000000001,4.549090000000002,3,3,3,68.88,4,4,True,True,100
CHEMBL491927,Cc1ccccc1-c1[nH]c(=S)[nH]c(=O)c1Cc1c(O)ccc2ccccc12,4.37,374.46500000000003,4.857510000000004,3,3,3,68.88,4,4,True,True,100
CHEMBL489527,Cc1cccc(-c2[nH]c(=S)[nH]c(=O)c2Cc2c(O)ccc3ccccc23)c1,4.36,374.46500000000003,4.857510000000002,3,3,3,68.88,4,4,True,True,100
CHEMBL491896,Cc1ccc(-c2[nH]c(=S)[nH]c(=O)c2Cc2c(O)ccc3ccccc23)cc1,4.35,374.4650000000001,4.857510000000003,3,3,3,68.88,4,4,True,True,100
CHEMBL491573,O=c1[nH]c(=S)[nH]c(-c2ccccc2F)c1Cc1c(O)ccc2ccccc12,4.3,378.4280000000001,4.688190000000002,3,3,3,68.88,4,4,True,True,100
CHEMBL448638,O=c1[nH]c(=S)[nH]c(-c2cccc(F)c2)c1Cc1c(O)ccc2ccccc12,4.42,378.4280000000001,4.688190000000002,3,3,3,68.88,4,4,True,True,100
CHEMBL468178,O=C(NNC(=S)Nc1cccc(C(F)(F)F)c1)c1nc(-c2cccc3ccccc23)no1,4.89,457.4370000000002,4.540000000000002,3,5,3,92.08000000000001,4,4,True,True,100
CHEMBL561194,NC(=O)c1ccccc1Nc1ccccc1,4.25,212.25199999999998,2.5291000000000006,2,2,3,55.120000000000005,2,2,True,True,100
CHEMBL560337,Cc1cccc(Nc2ccccc2C(N)=O)c1,4.17,226.279,2.8375199999999996,2,2,3,55.12,2,2,True,True,100
CHEMBL540468,NC(=O)c1ccccc1Nc1cccc(-c2ccccc2)c1,4.28,288.34999999999997,4.196100000000002,2,2,4,55.120000000000005,3,3,True,True,100
CHEMBL562079,NC(=O)c1ccccc1Nc1cccc(Sc2ccccc2)c1,4.05,320.417,4.680300000000003,2,3,5,55.120000000000005,3,3,True,True,100
CHEMBL549853,NC(=O)c1ccccc1Nc1cccc(Oc2ccccc2)c1,4.24,304.349,4.3214000000000015,2,3,5,64.35000000000001,3,3,True,True,100
CHEMBL558854,COC(=O)/C=C/c1cccc(Nc2ccccc2C(N)=O)c1,4.19,296.326,2.7153,2,4,5,81.41999999999999,2,2,True,True,100
CHEMBL551010,NC(=O)c1ccccc1Nc1cccc(/C=C/C(=O)O)c1,4.24,282.299,2.6269,3,3,5,92.42,2,2,True,True,100
CHEMBL561596,NC(=O)c1ccccc1Nc1cccc(CO)c1,4.22,242.27799999999996,2.0214,3,3,4,75.35000000000001,2,2,True,True,100
CHEMBL572123,NC(=O)c1ccccc1Nc1cccc(CCO)c1,4.14,256.30499999999995,2.0638999999999994,3,3,5,75.35000000000001,2,2,True,True,100
CHEMBL551610,NC(=O)c1ccccc1Sc1ccccc1,4.11,229.30399999999997,2.936700000000001,1,2,3,43.09,2,2,True,True,100
CHEMBL584353,CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1,5.57,413.54300000000006,4.027300000000002,3,4,10,79.46000000000001,2,2,True,True,100
CHEMBL1140,NC(=O)c1cccnc1,4.0,122.12699999999997,0.18050000000000016,1,2,1,55.980000000000004,1,1,True,True,100
CHEMBL595354,CN(C)CCCCC(=O)Nc1ccc(NC(=S)NC(=O)c2ccc(C(C)(C)C)cc2)cc1,4.0,454.6400000000002,4.781300000000003,3,4,8,73.47,2,2,True,True,100
CHEMBL82949,O=C(O)CCN1Cc2ccccc2C1=O,4.1,205.21300000000002,1.1171,1,2,3,57.61,2,1,True,True,100
CHEMBL611953,Cc1ccc2[nH]c3c(c2c1)CCCCC3C(N)=O,6.19,242.32199999999995,2.7716199999999995,2,1,1,58.88,3,2,True,True,100
CHEMBL86537,O=C1CCc2c(ccc3ccccc23)O1,4.02,198.221,2.6914000000000007,0,2,0,26.3,3,2,True,True,100
CHEMBL490905,O=C1Oc2ccc3ccccc3c2CC1C(=O)c1ccccc1Cl,4.05,336.774,4.453800000000003,0,3,2,43.370000000000005,4,3,True,True,100
CHEMBL596657,O=c1nc2oc3ccc4ccccc4c3cc-2c(=O)n1-c1ccccc1,5.08,340.338,3.5969000000000015,0,4,1,65.1,5,3,True,True,100
CHEMBL611665,O=c1nc2oc3ccccc3cc-2c(=O)[nH]1,5.28,214.17999999999998,0.9810999999999999,1,4,0,75.96000000000001,3,1,True,True,100
CHEMBL597477,NC(=O)[C@H]1CCCc2c1[nH]c1ccc(Cl)cc21,6.8,248.71300000000002,2.7265000000000006,2,1,1,58.88,3,2,True,True,100


[DuMate AI生成]
